"","Date","Time","Direction","CyclistCount","IsWeekday","Max_TemperatureF","PrecipitationIn","daynum"
"1",2012-10-02,"0"," NB",0,TRUE,63,0,275
"2",2012-10-02,"1"," NB",0,TRUE,63,0,275
"3",2012-10-02,"2"," NB",0,TRUE,63,0,275
"4",2012-10-02,"3"," NB",0,TRUE,63,0,275
"5",2012-10-02,"4"," NB",0,TRUE,63,0,275
"6",2012-10-02,"5"," NB",0,TRUE,63,0,275
"7",2012-10-02,"6"," NB",0,TRUE,63,0,275
"8",2012-10-02,"7"," NB",0,TRUE,63,0,275
"9",2012-10-02,"8"," NB",0,TRUE,63,0,275
"10",2012-10-02,"9"," NB",0,TRUE,63,0,275
"11",2012-10-02,"10"," NB",0,TRUE,63,0,275
"12",2012-10-02,"11"," NB",0,TRUE,63,0,275
"13",2012-10-02,"12"," NB",0,TRUE,63,0,275
"14",2012-10-02,"13"," NB",7,TRUE,63,0,275
"15",2012-10-02,"14"," NB",55,TRUE,63,0,275
"16",2012-10-02,"15"," NB",81,TRUE,63,0,275
"17",2012-10-02,"16"," NB",167,TRUE,63,0,275
"18",2012-10-02,"17"," NB",393,TRUE,63,0,275
"19",2012-10-02,"18"," NB",236,TRUE,63,0,275
"20",2012-10-02,"19"," NB",104,TRUE,63,0,275
"21",2012-10-02,"20"," NB",51,TRUE,63,0,275
"22",2012-10-02,"21"," NB",35,TRUE,63,0,275
"23",2012-10-02,"22"," NB",27,TRUE,63,0,275
"24",2012-10-02,"23"," NB",9,TRUE,63,0,275
"25",2012-10-02,"0"," SB",0,TRUE,63,0,275
"26",2012-10-02,"1"," SB",0,TRUE,63,0,275
"27",2012-10-02,"2"," SB",0,TRUE,63,0,275
"28",2012-10-02,"3"," SB",0,TRUE,63,0,275
"29",2012-10-02,"4"," SB",0,TRUE,63,0,275
"30",2012-10-02,"5"," SB",0,TRUE,63,0,275
"31",2012-10-02,"6"," SB",0,TRUE,63,0,275
"32",2012-10-02,"7"," SB",0,TRUE,63,0,275
"33",2012-10-02,"8"," SB",0,TRUE,63,0,275
"34",2012-10-02,"9"," SB",0,TRUE,63,0,275
"35",2012-10-02,"10"," SB",0,TRUE,63,0,275
"36",2012-10-02,"11"," SB",0,TRUE,63,0,275
"37",2012-10-02,"12"," SB",0,TRUE,63,0,275
"38",2012-10-02,"13"," SB",48,TRUE,63,0,275
"39",2012-10-02,"14"," SB",75,TRUE,63,0,275
"40",2012-10-02,"15"," SB",71,TRUE,63,0,275
"41",2012-10-02,"16"," SB",111,TRUE,63,0,275
"42",2012-10-02,"17"," SB",170,TRUE,63,0,275
"43",2012-10-02,"18"," SB",145,TRUE,63,0,275
"44",2012-10-02,"19"," SB",71,TRUE,63,0,275
"45",2012-10-02,"20"," SB",35,TRUE,63,0,275
"46",2012-10-02,"21"," SB",28,TRUE,63,0,275
"47",2012-10-02,"22"," SB",15,TRUE,63,0,275
"48",2012-10-02,"23"," SB",4,TRUE,63,0,275
"49",2012-10-03,"0"," NB",9,TRUE,66,0,276
"50",2012-10-03,"1"," NB",6,TRUE,66,0,276
"51",2012-10-03,"2"," NB",1,TRUE,66,0,276
"52",2012-10-03,"3"," NB",3,TRUE,66,0,276
"53",2012-10-03,"4"," NB",1,TRUE,66,0,276
"54",2012-10-03,"5"," NB",10,TRUE,66,0,276
"55",2012-10-03,"6"," NB",50,TRUE,66,0,276
"56",2012-10-03,"7"," NB",95,TRUE,66,0,276
"57",2012-10-03,"8"," NB",146,TRUE,66,0,276
"58",2012-10-03,"9"," NB",104,TRUE,66,0,276
"59",2012-10-03,"10"," NB",46,TRUE,66,0,276
"60",2012-10-03,"11"," NB",32,TRUE,66,0,276
"61",2012-10-03,"12"," NB",41,TRUE,66,0,276
"62",2012-10-03,"13"," NB",48,TRUE,66,0,276
"63",2012-10-03,"14"," NB",51,TRUE,66,0,276
"64",2012-10-03,"15"," NB",92,TRUE,66,0,276
"65",2012-10-03,"16"," NB",182,TRUE,66,0,276
"66",2012-10-03,"17"," NB",391,TRUE,66,0,276
"67",2012-10-03,"18"," NB",258,TRUE,66,0,276
"68",2012-10-03,"19"," NB",69,TRUE,66,0,276
"69",2012-10-03,"20"," NB",51,TRUE,66,0,276
"70",2012-10-03,"21"," NB",38,TRUE,66,0,276
"71",2012-10-03,"22"," NB",25,TRUE,66,0,276
"72",2012-10-03,"23"," NB",12,TRUE,66,0,276
"73",2012-10-03,"0"," SB",4,TRUE,66,0,276
"74",2012-10-03,"1"," SB",4,TRUE,66,0,276
"75",2012-10-03,"2"," SB",1,TRUE,66,0,276
"76",2012-10-03,"3"," SB",2,TRUE,66,0,276
"77",2012-10-03,"4"," SB",6,TRUE,66,0,276
"78",2012-10-03,"5"," SB",21,TRUE,66,0,276
"79",2012-10-03,"6"," SB",105,TRUE,66,0,276
"80",2012-10-03,"7"," SB",257,TRUE,66,0,276
"81",2012-10-03,"8"," SB",291,TRUE,66,0,276
"82",2012-10-03,"9"," SB",172,TRUE,66,0,276
"83",2012-10-03,"10"," SB",72,TRUE,66,0,276
"84",2012-10-03,"11"," SB",10,TRUE,66,0,276
"85",2012-10-03,"12"," SB",35,TRUE,66,0,276
"86",2012-10-03,"13"," SB",42,TRUE,66,0,276
"87",2012-10-03,"14"," SB",77,TRUE,66,0,276
"88",2012-10-03,"15"," SB",72,TRUE,66,0,276
"89",2012-10-03,"16"," SB",133,TRUE,66,0,276
"90",2012-10-03,"17"," SB",192,TRUE,66,0,276
"91",2012-10-03,"18"," SB",122,TRUE,66,0,276
"92",2012-10-03,"19"," SB",59,TRUE,66,0,276
"93",2012-10-03,"20"," SB",29,TRUE,66,0,276
"94",2012-10-03,"21"," SB",25,TRUE,66,0,276
"95",2012-10-03,"22"," SB",24,TRUE,66,0,276
"96",2012-10-03,"23"," SB",5,TRUE,66,0,276
"97",2012-10-04,"0"," NB",11,TRUE,64,0,277
"98",2012-10-04,"1"," NB",0,TRUE,64,0,277
"99",2012-10-04,"2"," NB",6,TRUE,64,0,277
"100",2012-10-04,"3"," NB",3,TRUE,64,0,277
"101",2012-10-04,"4"," NB",1,TRUE,64,0,277
"102",2012-10-04,"5"," NB",11,TRUE,64,0,277
"103",2012-10-04,"6"," NB",51,TRUE,64,0,277
"104",2012-10-04,"7"," NB",89,TRUE,64,0,277
"105",2012-10-04,"8"," NB",134,TRUE,64,0,277
"106",2012-10-04,"9"," NB",94,TRUE,64,0,277
"107",2012-10-04,"10"," NB",53,TRUE,64,0,277
"108",2012-10-04,"11"," NB",55,TRUE,64,0,277
"109",2012-10-04,"12"," NB",50,TRUE,64,0,277
"110",2012-10-04,"13"," NB",71,TRUE,64,0,277
"111",2012-10-04,"14"," NB",56,TRUE,64,0,277
"112",2012-10-04,"15"," NB",74,TRUE,64,0,277
